reference	hypA	nbrA	hypB	nbrB
le le début de centres nucléaires militaires	le le le début de centres nuclé militaires	3	le le le début deux centres nucléaires militaires	4
en tirer les conclusions mais je je trouve cette	euh en tirer des conclusions mais j je trouve cette euh	4	euh en tirer les conclusions mais je je trouve cetteuh	3
dimanche soir dufreigne philippe	dimanche soir' une ça	5	dimanche soire an t e	2
et on voit aujourd'hui où se trouve la grèce alors justement est ce que c' est un business rentable	on voit aujourd' hui on se trouve la grèce euh justement si le c' est un businesse fontable	3	et on voiteu aujourd' hui ou se trouve la graisse alor justement est-ce que c' est un business rentable	4
or le dirigeant de cosmos lui même quand il a été interrogé en novembre deux mille onze	or le dirigeant de kosmos lui-même quand il a été interrogé en novembre deux mille onze	0	or le dirigeant de cosmos lui-même quand il a été interrogé en novembre deux milles onze	7
donc tout d' un coup il descendait de l' olympe si vous voulez voilà donc il descendait de l' olympe	donc euh tout d' un coup il descendait de l' olympe si vous tournez il ça voilà donc il descendait de l' olympympe	7	donc euh tout d' un coup il descend des blaulins c' est l' autorité on prend souvent donc il descendait de là	0
trop généreuse pour certains ça c' est une conviction personnelle je sais qu' elle fait l' objet de débats	trop généreuse pour certains ça c' est une conviction personnelle je sais qu' elle fait l' objet de débat	2	trop généreuse pour certains ça c' est une conviction personnelle je sais qu' elle fait l'objet de débat	5
il est pas très tendre avec avec eva joly	tendre euh avec avec évag non	3	à très tendre euh avec avec evagn	4
les obligations de permanence de soins	obligation de permanence de soins	0	les obligations de permanence de soin	7
exprime le droit des musulmans à protester et appelle à l' utilisation de moyens civils et pacifiques	le droit des musulmans à protester et appelle à l' utilisation de moyens civils et pacifiques	3	exprimen le droit à des musulmans à protester et appell à l' utilisation de moyens civils et pacifiques	4
l' analyse que vous en faites et les conséquences que le gouvernement français compte en tirer	analyse que vous en faites et les conséquences que le gouvernement français compte en tirer	5	l' analyse que vous en faites est les conséquences que le gouvernement français compte en tirer	2
quels dégats pourraient provoquer ces armes chimiques	quel dégât pourrait provoquer ses armes chimiques	0	quel dégâts pourrait provoquer ces armes chimiques	7
le président ne sera pas là avant dix minutes	le président ne sera pas là vont diminuer	4	le président na sera pas là vant timiné	3
il me manque une direction	qu' une direction	5	maintenant qu' une direction	2
dont quatorze règlements de compte et douze tentatives	donc quatorze règlements de comptes et douze stentatives	0	donc quatorze règlements de compte et douze tentatives	7
décortiquons cher christophe bonjour	christophe bonjour	4	décortiquant jacques christophe bonjour	3
bruno le maire côté face l' ancien secrétaire d' état en charge des pme	bruno le maire côté face l' ancien secrétaire d' etat en charge des pme	5	bruno le marre côté face l' ancien secrétaire d' état en charge des pme	2
ce qui se passera après alors c' est ainsi que selon l' express le nom de	euh ce qui s() s() pas) sera après alors c' est ainsi que selon l' express le nom de	2	euh ce qui se s() pa() sera après alors c' est ainsi que selon l' express le nom de	5
et alors je vais vous dire il y a monsieur sarkozy	oui une chose monsieur sarkozy	1	mais alors je veux direer une chose et monsieur sarkozy parce	6
à peine installé le gouvernement a commandé un rapport qui a confirmé la viabilité et la rentabilité du site	a peine installé le gouvernement a commandé un rapport qui a confirmé la viabilité et la rentabilité du site	0	à peine installlé le gouvernement a commandé un rapport qui a confirmé la viabilité et la rentabilité du site	7
et c' est là	euh cela	0	et c' est la	7
au premier tour ça reste quand même un petit peu serré quelle est la marge d' erreur selon vous	premier tour ça reste quand même un petit peu serré quelle est la marge d' erreur selon vous	4	au premier tour ça reste quand même un petit peu serré euh quelle est la marge d' erreur euh selon vous	3
et il était vraiment je pense et c' est peut être aussi pour ça finalement que que	et il était vraiment je pense euh et c' est peut-être aussi pour ça finalement que que	6	et il était vraiment je pense euh t c' est peut-être aussi pour ça finalement que que	1
avec des écoutes téléphoniques à chaque fois on retrouve la même chose l' immobilier le dossier jean jé colonna	euh avec des écoutes téléphoniques à chaque fois on retrouve la même chose l' immobilier le dossier jean-ger colonna	2	euh avec des écoutes téléphoniques à chaque fois on retrouve la même chose l' immobilier le dossier jean ge colonna	5
non je risque de toucher bond	non j' aurais tout à touché pa	6	non j' aurais to de tou cer pode	1
c' est à paris	est à paris	7	c' est appari	0
que fait il dénoncer les uns ça ne donne pas de solutions pour les salariés créer cette tension	fait il dénoncer les ans ça ne donne pas des solutions pour les salariés créer cette tension	2	que fait-il dénoncer les uns ça ne donne pas des solutions pour les salariés euh créer euh cette tension	5
un grand oral sans surprise mais un moyen pour les petits candidats de se faire entendre	grand oral sans surprise mais un moyen pour les petits candidats de se faire entendre	7	un grand toral sans surprise mais un moyen pour les petits candidats de se faire entendre	0
que vous ne l' ayez pas mais je le pose aux cliniques privées	n' ayez pas mais je pose aux cliniques privées	2	que vous ne l' yiez pas mais je le pose aux clinigues privé	5
oui vous êtes assez non vous êtes	non	2	oui vous les aiz as' est non écoutez	5
johnny en mode bisous applaudi par la foule johnny en mode ray charles public attentif	johnny en mode bisou applauddi par la foule johnny en modchles public attentif	3	johnny en motde bisou applaudi par la foul jonyl en mode ra e charles public attentif	4
si c' est	si	7	civi	0
après les manifestations de policiers le gouvernement jospin avait mandaté deux parlementaires pandraud caresche	les manifestations de policiers le gouvernement jospin avait mandaté deux parlementaires pandraud caresche	4	après les manifestations de policiers le gouvernement jospin avait mandaté deux parlementaires pendro carèche	3
il va être déposé	il va être dép()	7	il va être dép(t)	0
leur une pour les prochaines semaines et consacreront leur choix à à jean luc delarue bien sûr	leur une pour les prochaines semaines et consacreront leurs shepard alors à jean luc delarue bien sûr	5	àh leur une pour les prochaines semaines et consacreront leur choar à la j() à jean-luc delarue bien sûr	2
et pourtant dans une autre vie stefano sollima était journaliste désormais le voilà réalisateur et un grand	et pourtant dans une autre vise stéphano-soline a été journaliste désormais le voilà réalisateur et un grand	0	et pourtant dans une autre vie stéphane ossolima était journaliste désormais le voilà réalisateur et un grand	7
il y a la taxe oui bon	bien à la tasse oui mais	3	il y a la tâce ouib	4
